date,split,seed,model,n_queries,n_pairs,ndcg10_mean,ndcg10_std,wall_s,pairs_per_s,k_candidates,max_seq_len,batch_size,fp16,torch,transformers,sentence_transformers,ir_datasets,arm
2022-06,train,42,bm25,24582,2448524,0.11101745945177746,0.24730583507940415,0.01,310295616.1,99,512,64,False,2.12.0+cu126,4.57.6,5.5.1,0.5.11,bm25
2022-06,train,42,jinaai/jina-reranker-v2-base-multilingual,24582,2448524,0.17588994702463412,0.3179738656755617,5889.98,415.7,99,512,64,True,2.12.0+cu126,4.57.6,5.5.1,0.5.11,jina-v2
2022-07,train,42,bm25,25393,2529614,0.1171054450317265,0.25451086690834673,0.01,441456691.3,99,512,64,False,2.12.0+cu126,4.57.6,5.5.1,0.5.11,bm25
2022-07,train,42,jinaai/jina-reranker-v2-base-multilingual,25393,2529614,0.18381140574057497,0.32436291727518235,6303.64,401.3,99,512,64,True,2.12.0+cu126,4.57.6,5.5.1,0.5.11,jina-v2
2022-08,train,42,bm25,28187,2809091,0.12278574178747978,0.25929078577819964,0.01,342037960.3,99,512,64,False,2.12.0+cu126,4.57.6,5.5.1,0.5.11,bm25
2022-08,train,42,jinaai/jina-reranker-v2-base-multilingual,28187,2809091,0.19136927574433304,0.3284887804004025,6935.72,405.0,99,512,64,True,2.12.0+cu126,4.57.6,5.5.1,0.5.11,jina-v2
2022-09,train,42,bm25,7827,781335,0.1907847838773862,0.308804717873306,0.0,177287341.9,99,512,64,False,2.12.0+cu126,4.57.6,5.5.1,0.5.11,bm25
2022-09,train,42,jinaai/jina-reranker-v2-base-multilingual,7827,781335,0.2840538683700392,0.36654610301138846,1945.9,401.5,99,512,64,True,2.12.0+cu126,4.57.6,5.5.1,0.5.11,jina-v2
2022-10,train,42,bm25,12184,1216089,0.24375267367277145,0.3318373392378667,0.0,350849288.6,99,512,64,False,2.12.0+cu126,4.57.6,5.5.1,0.5.11,bm25
2022-10,train,42,jinaai/jina-reranker-v2-base-multilingual,12184,1216089,0.3883168246114009,0.39098597625518455,2870.88,423.6,99,512,64,True,2.12.0+cu126,4.57.6,5.5.1,0.5.11,jina-v2
2022-11,train,42,bm25,14979,1495013,0.23911406556990142,0.32931553028671806,0.0,395667529.4,99,512,64,False,2.12.0+cu126,4.57.6,5.5.1,0.5.11,bm25
2022-11,train,42,jinaai/jina-reranker-v2-base-multilingual,14979,1495013,0.38484186992414204,0.39338569427150083,3571.05,418.6,99,512,64,True,2.12.0+cu126,4.57.6,5.5.1,0.5.11,jina-v2
2022-12,train,42,bm25,15326,1529591,0.2507990176063221,0.33234500968180747,0.0,354941612.7,99,512,64,False,2.12.0+cu126,4.57.6,5.5.1,0.5.11,bm25
2022-12,train,42,jinaai/jina-reranker-v2-base-multilingual,15326,1529591,0.3908433338327591,0.38735054865151275,3806.89,401.8,99,512,64,True,2.12.0+cu126,4.57.6,5.5.1,0.5.11,jina-v2
2023-01,train,42,bm25,15984,1595496,0.2558385592594281,0.3363093839763456,0.01,195523732.1,99,512,64,False,2.12.0+cu126,4.57.6,5.5.1,0.5.11,bm25
2023-01,train,42,jinaai/jina-reranker-v2-base-multilingual,15984,1595496,0.4007286137884788,0.3908962576775438,4075.64,391.5,99,512,64,True,2.12.0+cu126,4.57.6,5.5.1,0.5.11,jina-v2
2023-02,train,42,bm25,7968,795235,0.2626365533059355,0.34536805680595134,0.0,284110506.1,99,512,64,False,2.12.0+cu126,4.57.6,5.5.1,0.5.11,bm25
2023-02,train,42,jinaai/jina-reranker-v2-base-multilingual,7968,795235,0.39708976224490217,0.3975530596420873,1919.19,414.4,99,512,64,True,2.12.0+cu126,4.57.6,5.5.1,0.5.11,jina-v2
